,程度级别词语（中文）,负面评价词语（中文）,负面情感词语（中文）,正面评价词语（中文）,正面情感词语（中文）,主张词语（中文）
无中生有,0,1,0,0,0,0
只听楼梯响，不见人下来,0,1,0,0,0,0
必需,0,0,0,1,0,0
相中,0,0,0,0,1,0
稗,0,1,0,0,0,0
忸怩作态,0,1,0,0,0,0
油腻,0,1,0,0,0,0
肤泛,0,1,0,0,0,0
劣质,0,1,0,0,0,0
指斥,0,0,1,0,0,0
有始无终,0,1,0,0,0,0
始终不懈,0,0,0,1,0,0
顿生疑窦,0,0,1,0,0,0
要紧,0,0,1,1,0,0
高效,0,0,0,1,0,0
挺秀,0,0,0,1,0,0
下不来台,0,0,1,0,0,0
祥,0,0,0,1,0,0
锣鼓喧天,0,0,0,1,0,0
封禅,0,0,0,0,1,0
悄悄,0,0,0,1,0,0
不消化,0,1,0,0,0,0
讥诮,0,0,1,0,0,0
清醒,0,0,0,1,0,0
机智,0,0,0,1,0,0
晃眼,0,0,0,1,0,0
敏捷,0,0,0,1,0,0
划时代,0,0,0,1,0,0
甘之如饴,0,0,0,1,0,0
刁悍,0,1,0,0,0,0
不能解救,0,1,0,0,0,0
义愤,0,0,1,0,0,0
恰如其分,0,0,0,1,0,0
干干巴巴,0,1,0,0,0,0
嶷,0,0,0,1,0,0
啧有烦言,0,0,1,0,0,0
谦顺,0,0,0,1,0,0
袅袅婷婷,0,0,0,1,0,0
光怪陆离,0,1,0,0,0,0
备至,1,0,0,0,0,0
惊叹,0,0,1,0,0,0
“超,1,0,0,0,0,0
沉稳,0,0,0,1,0,0
忡,0,0,1,0,0,0
太虚,0,1,0,0,0,0
鬼迷心窍,0,0,0,0,1,0
任纵,0,1,0,0,0,0
秀美,0,0,0,1,0,0
置之度外,0,0,1,0,0,0
居高临下,0,0,0,1,0,0
寂,0,1,0,1,0,0
鄙,0,1,1,0,0,0
俊,0,0,0,1,0,0
柔肠寸断,0,0,1,0,0,0
精,0,0,0,1,0,0
极好,0,0,0,1,0,0
哭丧着脸,0,0,1,0,0,0
不卑不亢,0,0,0,1,0,0
惦挂,0,0,1,0,0,0
水灵,0,0,0,1,0,0
健步,0,0,0,1,0,0
香喷喷,0,0,0,1,0,0
肝胆过人,0,0,0,1,0,0
半公开,0,0,0,1,0,0
铁,0,0,0,1,0,0
知足,0,0,0,0,1,0
诅咒,0,0,1,0,0,0
无教养,0,1,0,0,0,0
兔子尾巴长不了,0,1,0,0,0,0
诚实,0,0,0,1,0,0
夸,0,0,0,0,1,0
家长式,0,1,0,0,0,0
依违,0,1,0,0,0,0
责难,0,0,1,0,0,0
一体化,0,0,0,1,0,0
称,0,0,0,0,1,0
高新,0,0,0,1,0,0
溢价,0,1,0,0,0,0
一专多能,0,0,0,1,0,0
有名,0,0,0,1,0,0
愠怒,0,0,1,0,0,0
数说,0,0,1,0,0,0
凄苦,0,1,0,0,0,0
骄矜,0,1,0,0,0,0
大度,0,0,0,1,0,0
殷勤,0,0,0,1,0,0
干脆利落,0,0,0,1,0,0
不屑一顾,0,0,1,0,0,0
卫生,0,0,0,1,0,0
浓丽,0,0,0,1,0,0
失常,0,1,0,0,0,0
锃光瓦亮,0,0,0,1,0,0
内疚,0,0,1,0,0,0
锦,0,0,0,1,0,0
锺,0,0,0,0,1,0
不为已甚,0,0,0,1,0,0
清一色,0,0,0,1,0,0
尖利,0,0,0,1,0,0
僻静,0,1,0,0,0,0
讨,0,0,1,0,0,0
高精度,0,0,0,1,0,0
勇,0,0,0,1,0,0
中文负面评价词语,0,1,0,0,0,0
修明,0,0,0,1,0,0
千恩万谢,0,0,0,0,1,0
滑溜溜,0,0,0,1,0,0
主观上,0,1,0,0,0,0
周至,0,0,0,1,0,0
驯良,0,0,0,1,0,0
名义,0,1,0,0,0,0
示好,0,0,0,0,1,0
尖酸,0,1,0,0,0,0
敬礼,0,0,0,0,1,0
中肯,0,0,0,1,0,0
自得其乐,0,0,0,0,1,0
动平衡,0,0,0,1,0,0
臭不可闻,0,1,0,0,0,0
恬静,0,0,0,1,0,0
凶横,0,1,0,0,0,0
怅惘,0,0,1,0,0,0
大骂,0,0,1,0,0,0
精巧,0,0,0,1,0,0
合格,0,0,0,1,0,0
好生,1,0,0,0,0,0
没轻没重,0,1,0,0,0,0
悫,0,0,0,1,0,0
富可敌国,0,0,0,1,0,0
复杂,0,1,0,0,0,0
松心,0,0,0,0,1,0
泠然,0,0,0,1,0,0
宓,0,0,0,1,0,0
面带怒色,0,0,1,0,0,0
益发,1,0,0,0,0,0
低廉,0,0,0,1,0,0
清淡,0,1,0,1,0,0
死死,0,1,0,0,0,0
骇怕,0,0,1,0,0,0
愈发,1,0,0,0,0,0
地位低下,0,1,0,0,0,0
贪心,0,1,0,0,0,0
何啻,1,0,0,0,0,0
牢牢,0,0,0,1,0,0
称心如愿,0,0,0,0,1,0
不是味儿,0,1,1,0,0,0
实在,1,0,0,1,0,0
秀逸,0,0,0,1,0,0
纷扰,0,1,0,0,0,0
过当,0,1,0,0,0,0
得宜,0,0,0,1,0,0
幺麽,0,1,0,0,0,0
醇,0,0,0,1,0,0
心惊胆战,0,0,1,0,0,0
浑金璞玉,0,0,0,1,0,0
那般,1,0,0,0,0,0
佩服,0,0,0,0,1,0
不够意思,0,1,0,0,0,0
花钱浪费,0,1,0,0,0,0
重,0,1,0,1,1,0
远远,1,0,0,0,0,0
滞,0,1,0,0,0,0
景色优美,0,0,0,1,0,0
簇新,0,0,0,1,0,0
有文化,0,0,0,1,0,0
困顿,0,1,0,0,0,0
出以公心,0,0,0,1,0,0
驯善,0,0,0,1,0,0
栩栩如生,0,0,0,1,0,0
仔细,0,0,0,1,0,0
震惊,0,0,1,0,0,0
干,0,1,0,0,0,0
幽暗,0,1,0,0,0,0
非常悲哀,0,0,1,0,0,0
贫穷,0,1,0,0,0,0
唯利是图,0,1,0,0,0,0
干瘪瘪,0,1,0,0,0,0
来得,0,0,0,1,0,0
死气沉沉,0,1,0,0,0,0
虚荣,0,1,0,0,0,0
稳重,0,0,0,1,0,0
旗帜鲜明,0,0,0,1,0,0
穷,0,1,0,0,0,0
最,1,0,0,0,0,0
了然,0,0,0,1,0,0
鸣冤叫屈,0,0,1,0,0,0
莽莽,0,0,0,1,0,0
恭祝,0,0,0,0,1,0
熠熠生辉,0,0,0,1,0,0
强硬,0,0,0,1,0,0
夷,0,0,0,1,0,0
嗔怪,0,0,1,0,0,0
无原则,0,1,0,0,0,0
悦目,0,0,0,1,0,0
轻狂,0,1,0,0,0,0
赶尽杀绝,0,1,0,0,0,0
龉,0,1,0,0,0,0
气哼哼,0,0,1,0,0,0
作色,0,0,1,0,0,0
拥挤不堪,0,1,0,0,0,0
不会弄错,0,0,0,1,0,0
愣要,0,0,0,1,0,0
确确实实,0,0,0,1,0,0
磕头,0,0,0,0,1,0
鸡毛蒜皮,0,1,0,0,0,0
怆恍,0,0,1,0,0,0
核心,0,0,0,1,0,0
斗争,0,0,1,0,0,0
苦口婆心,0,0,0,1,0,0
颤颤巍巍,0,1,0,0,0,0
向着,0,0,0,0,1,0
秀丽,0,0,0,1,0,0
甚,1,0,0,0,0,0
讥讪,0,0,1,0,0,0
叶公好龙,0,1,0,0,0,0
阒寂,0,0,0,1,0,0
璀璨,0,0,0,1,0,0
不合法,0,1,0,0,0,0
死有余辜,0,1,0,0,0,0
叱咤风云,0,0,0,1,0,0
野,0,1,0,0,0,0
名实相符,0,0,0,1,0,0
数一数二,0,0,0,1,0,0
来之不易,0,1,0,0,0,0
愚妄,0,1,0,0,0,0
丝毫不差,0,0,0,1,0,0
珍贵,0,0,0,1,0,0
不成熟,0,1,0,0,0,0
峭直,0,1,0,0,0,0
按时,0,0,0,1,0,0
假,0,1,0,0,0,0
积满灰尘,0,1,0,0,0,0
吃劲,0,1,0,0,0,0
低俗,0,1,0,0,0,0
明达,0,0,0,1,0,0
噱头,0,0,0,1,0,0
卑微,0,1,0,0,0,0
浅近,0,0,0,1,0,0
忪,0,0,1,0,0,0
人心大快,0,0,0,0,1,0
绵密,0,0,0,1,0,0
粗心大意,0,1,0,0,0,0
色迷迷,0,1,0,0,0,0
怒斥,0,0,1,0,0,0
随风倒,0,1,0,0,0,0
不容怀疑,0,0,0,1,0,0
匀称,0,0,0,1,0,0
骄傲,0,1,0,0,0,0
怀恋,0,0,0,0,1,0
好听,0,0,0,1,0,0
幻异,0,1,0,0,0,0
凶,0,1,0,0,0,0
自高自大,0,1,0,0,0,0
神魂颠倒,0,0,0,0,1,0
极为,1,0,0,0,0,0
使用方便,0,0,0,1,0,0
坚韧,0,0,0,1,0,0
别具一格,0,0,0,1,0,0
吉祥如意,0,0,0,1,0,0
拔俗,0,0,0,1,0,0
过桥抽板,0,1,0,0,0,0
冷淡,0,1,1,0,0,0
惨毒,0,1,0,0,0,0
多么,1,0,0,0,0,0
夹七夹八,0,1,0,0,0,0
宗仰,0,0,0,0,1,0
清正,0,0,0,1,0,0
淫靡,0,1,0,0,0,0
价高,0,1,0,0,0,0
无拘无束,0,0,0,1,0,0
一板正经,0,0,0,1,0,0
基础性,0,0,0,1,0,0
驴唇不对马嘴,0,1,0,0,0,0
不正直,0,1,0,0,0,0
懒惰,0,1,0,0,0,0
清醇,0,0,0,1,0,0
数得着,0,0,0,1,0,0
奖,0,0,0,0,1,0
掊击,0,0,1,0,0,0
发人深思,0,0,0,1,0,0
1.,0,0,0,0,0,1
没有说的,0,0,0,1,0,0
不人道,0,1,0,0,0,0
秀俊,0,0,0,1,0,0
犀利,0,0,0,1,0,0
做作,0,1,0,0,0,0
有贡献,0,0,0,1,0,0
难看,0,1,0,0,0,0
奖励,0,0,0,0,1,0
手不释卷,0,0,0,1,0,0
眉清目秀,0,0,0,1,0,0
蓬散,0,1,0,0,0,0
狠劲,0,1,0,0,0,0
羊质虎皮,0,1,0,0,0,0
谴,0,0,1,0,0,0
脍炙人口,0,0,0,1,0,0
识趣,0,0,0,1,0,0
孤立,0,1,0,0,0,0
德行,0,1,0,0,0,0
恒定,0,0,0,1,0,0
勉强,0,1,0,0,0,0
好办,0,0,0,1,0,0
嬖,0,0,0,0,1,0
忿忿然,0,0,1,0,0,0
旷达,0,0,0,1,0,0
用不着,0,1,0,0,0,0
纯正,0,0,0,1,0,0
准点,0,0,0,1,0,0
以一当十,0,0,0,1,0,0
指桑骂槐,0,0,1,0,0,0
简单化,0,0,0,1,0,0
傻,0,1,0,0,0,0
没个好脸,0,0,1,0,0,0
哈喇,0,1,0,0,0,0
膻腥,0,1,0,0,0,0
千篇一律,0,1,0,0,0,0
完完全全,1,0,0,0,0,0
黪,0,1,0,0,0,0
百无一失,0,0,0,1,0,0
觖,0,0,1,0,0,0
偏听偏信,0,1,0,0,0,0
闹脾气,0,0,1,0,0,0
寡断,0,1,0,0,0,0
得饶人处且饶人,0,0,1,0,0,0
哀矜,0,0,1,0,0,0
不孝,0,1,0,0,0,0
喜冲冲,0,0,0,0,1,0
宽免,0,0,1,0,0,0
欢欣鼓舞,0,0,0,0,1,0
非礼,0,1,0,0,0,0
评头品足,0,0,1,0,0,0
笃诚,0,0,0,1,0,0
柔顺,0,0,0,1,0,0
心不在焉,0,1,0,0,0,0
易变,0,1,0,0,0,0
雄赳赳,0,0,0,1,0,0
黯淡,0,1,0,0,0,0
阙略,0,1,0,0,0,0
土里土气,0,1,0,0,0,0
颠连,0,1,0,0,0,0
昌明,0,0,0,1,0,0
舒坦,0,0,0,1,1,0
迷,0,0,0,0,1,0
顾盼自雄,0,0,0,0,1,0
随心所欲,0,1,0,0,0,0
泰然处之,0,0,0,1,0,0
不注意,0,1,0,0,0,0
轫,0,1,0,1,0,0
软,0,1,0,1,0,0
淋漓尽致,0,0,0,1,0,0
面有喜色,0,0,0,0,1,0
刚正不阿,0,0,0,1,0,0
守株待兔,0,1,0,0,0,0
鱼游釜中,0,1,0,0,0,0
柔婉,0,0,0,1,0,0
扰攘,0,0,0,1,0,0
利嘴,0,0,0,1,0,0
大量,0,0,0,1,0,0
严重,0,1,0,0,0,0
名誉扫地,0,1,0,0,0,0
喝叱,0,0,1,0,0,0
满怀激情,0,0,0,0,1,0
明确,0,0,0,1,0,0
忧烦,0,0,1,0,0,0
风闻,0,0,0,0,0,1
倡,0,0,0,0,1,0
逾分,0,1,0,0,0,0
工工整整,0,0,0,1,0,0
决定,0,0,0,1,0,0
呆傻,0,1,0,0,0,0
阴森森,0,1,0,0,0,0
心烦意乱,0,0,1,0,0,0
挢,0,0,0,1,0,0
狂热,0,0,0,1,0,0
自恃,0,1,0,0,0,0
芬香,0,0,0,1,0,0
苦心,0,0,0,1,0,0
典雅,0,0,0,1,0,0
光风霁月,0,0,0,1,0,0
拙笨,0,1,0,0,0,0
刍,0,1,0,0,0,0
219,1,0,0,0,0,0
机灵,0,0,0,1,0,0
愉快,0,0,0,0,1,0
艰苦,0,1,0,0,0,0
不协调,0,1,0,0,0,0
平等互利,0,0,0,1,0,0
浑朴,0,0,0,1,0,0
昂昂,0,0,0,1,0,0
“极其,1,0,0,0,0,0
跅弛,0,1,0,0,0,0
污秽,0,1,0,0,0,0
平平静静,0,0,0,1,0,0
食古不化,0,1,0,0,0,0
苦不唧,0,1,0,0,0,0
刚劲,0,0,0,1,0,0
妖冶,0,0,0,1,0,0
盲人瞎马,0,1,0,0,0,0
忧惧,0,0,1,0,0,0
活泛,0,0,0,1,0,0
不俭省,0,1,0,0,0,0
见异思迁,0,1,0,0,0,0
沉静,0,0,0,1,0,0
介怀,0,0,1,0,0,0
头号,0,0,0,1,0,0
瘠,0,1,0,0,0,0
二话不说,0,0,0,1,0,0
通顺,0,0,0,1,0,0
超绝,0,0,0,1,0,0
村气,0,1,0,0,0,0
令人敬畏,0,1,0,0,0,0
光灿灿,0,0,0,1,0,0
迁怒,0,0,1,0,0,0
光彩夺目,0,0,0,1,0,0
空,0,1,0,0,0,0
心地善良,0,0,0,1,0,0
骗人,0,1,0,0,0,0
顺顺当当,0,0,0,1,0,0
偏好,0,0,0,0,1,0
回味无穷,0,0,0,1,0,0
呆怔,0,0,1,0,0,0
一呼百应,0,0,0,1,0,0
缩头缩脑,0,0,1,0,0,0
硬实,0,0,0,1,0,0
丁是丁，卯是卯,0,0,0,1,0,0
端秀,0,0,0,1,0,0
得心应手,0,0,0,1,0,0
未受过教育,0,1,0,0,0,0
雅俗共赏,0,0,0,1,0,0
自告奋勇,0,0,0,0,1,0
烦忧,0,0,1,0,0,0
不足取,0,1,0,0,0,0
诧,0,0,1,0,0,0
人不知，鬼不觉,0,1,0,0,0,0
单薄,0,1,0,0,0,0
拱手,0,0,0,0,1,0
轻快,0,0,0,1,1,0
瘦,0,1,0,0,0,0
忧伤,0,0,1,0,0,0
节省,0,0,0,1,0,0
裒,0,0,0,1,0,0
酷,1,1,0,1,0,0
高兴,0,0,0,0,1,0
有鼻子有眼儿,0,0,0,1,0,0
不轨,0,1,0,0,0,0
下三滥,0,1,0,0,0,0
装样子,0,1,0,0,0,0
饫,0,0,0,0,1,0
落后,0,1,0,0,0,0
俯允,0,0,0,0,1,0
丰姿绰约,0,0,0,1,0,0
訾议,0,0,1,0,0,0
倨傲,0,1,0,0,0,0
反对称,0,1,0,0,0,0
革命性,0,0,0,1,0,0
深长,0,0,0,1,0,0
佼,0,0,0,1,0,0
引颈企待,0,0,0,0,1,0
高雅,0,0,0,1,0,0
机变,0,1,0,0,0,0
细致,0,0,0,1,0,0
合群,0,0,0,1,0,0
颓败,0,1,0,0,0,0
气派,0,0,0,1,0,0
天遂人愿,0,0,0,1,0,0
引咎,0,0,1,0,0,0
相信,0,0,0,0,0,1
憋着一肚子气,0,0,1,0,0,0
狂妄,0,1,0,0,0,0
长篇累牍,0,1,0,0,0,0
外行,0,1,0,0,0,0
精确,0,0,0,1,0,0
打骂,0,0,1,0,0,0
天才,0,0,0,1,0,0
亲热亲热,0,0,0,0,1,0
梦寐以求,0,0,0,0,1,0
衰弱,0,1,0,0,0,0
高深,0,0,0,1,0,0
客观,0,0,0,1,0,0
直,0,0,0,1,0,0
荒淫无度,0,1,0,0,0,0
近视,0,1,0,0,0,0
恹,0,1,0,0,0,0
管教好,0,0,0,1,0,0
鱼龙混杂,0,1,0,0,0,0
昂扬,0,0,0,0,1,0
狃,0,1,0,0,0,0
匀和,0,0,0,1,0,0
索然寡味,0,1,0,0,0,0
鄙弃,0,0,1,0,0,0
詈骂,0,0,1,0,0,0
灿烂夺目,0,0,0,1,0,0
上劲,0,0,0,1,0,0
有滋味,0,0,0,1,0,0
妒,0,0,0,0,1,0
自命清高,0,1,0,0,0,0
问罪,0,0,1,0,0,0
标定,0,0,0,1,0,0
卑劣,0,1,0,0,0,0
迷离扑朔,0,1,0,0,0,0
淳美,0,0,0,1,0,0
顶用,0,0,0,1,0,0
刀光剑影,0,1,0,0,0,0
舒,0,0,0,1,0,0
蔫头耷脑,0,1,0,0,0,0
汹汹,0,0,0,1,0,0
讽,0,0,1,0,0,0
亏心,0,0,1,0,0,0
保守,0,1,0,0,0,0
弇陋,0,1,0,0,0,0
繁难,0,1,0,0,0,0
干燥,0,1,0,0,0,0
淳朴,0,0,0,1,0,0
权威性,0,0,0,1,0,0
不可恢复,0,1,0,0,0,0
洁,0,0,0,1,0,0
懒,0,1,0,0,0,0
羡余,0,1,0,0,0,0
简括,0,0,0,1,0,0
欣欣然,0,0,0,1,0,0
晰,0,0,0,1,0,0
谨,0,0,0,1,0,0
名特优,0,0,0,1,0,0
珍异,0,0,0,1,0,0
恶毒,0,1,0,0,0,0
沉郁,0,0,1,0,0,0
剀,0,0,0,1,0,0
俏丽,0,0,0,1,0,0
安,0,0,0,1,1,0
伟,0,0,0,1,0,0
无牵无挂,0,0,0,1,0,0
不和谐,0,1,0,0,0,0
欢天喜地,0,0,0,0,1,0
千姿百态,0,0,0,1,0,0
刻骨,1,0,0,0,0,0
劲,0,0,0,1,0,0
怨恨,0,0,1,0,0,0
愕,0,0,1,0,0,0
朴,0,0,0,1,0,0
怜悯,0,0,1,0,0,0
坦坦荡荡,0,0,0,1,0,0
紊,0,1,0,0,0,0
凌杂,0,1,0,0,0,0
可信任,0,0,0,1,0,0
正常,0,0,0,1,0,0
面有愠色,0,0,1,0,0,0
钦佩,0,0,0,0,1,0
尽,1,0,0,0,1,0
草荒,0,1,0,0,0,0
漠漠,0,1,0,0,0,0
如旧,0,0,0,1,0,0
别开生面,0,0,0,1,0,0
虚惊,0,0,1,0,0,0
大惊失色,0,0,1,0,0,0
浮漂,0,1,0,0,0,0
忧郁,0,0,1,0,0,0
理屈,0,1,0,0,0,0
死,1,1,0,0,0,0
精打细算,0,0,0,1,0,0
凄寂,0,1,0,0,0,0
丢脸,0,1,0,0,0,0
各得其所,0,0,0,1,0,0
挤巴,0,1,0,0,0,0
高贵,0,0,0,1,0,0
好受,0,0,0,1,0,0
打心眼里,0,0,0,1,0,0
至关紧要,0,0,0,1,0,0
黑蒙蒙,0,1,0,0,0,0
死得其所,0,0,0,1,0,0
肝肠寸断,0,0,1,0,0,0
危急,0,1,0,0,0,0
坎坷不平,0,1,0,0,0,0
飘飘然,0,0,0,0,1,0
谨严,0,0,0,1,0,0
闷闷不乐,0,0,1,0,0,0
靠得住,0,0,0,1,0,0
凶煞,0,1,0,0,0,0
驯服,0,0,0,1,0,0
缠手,0,1,0,0,0,0
理屈词穷,0,1,0,0,0,0
圆通,0,0,0,1,0,0
安静,0,0,0,1,0,0
怨,0,0,1,0,0,0
悠谬,0,1,0,0,0,0
得天独厚,0,0,0,1,0,0
置之脑后,0,0,1,0,0,0
稳步,0,0,0,1,0,0
鬼计多端,0,1,0,0,0,0
恼火,0,0,1,0,0,0
怃,0,0,1,1,0,0
有一搭没一搭,0,1,0,0,0,0
刚直不阿,0,0,0,1,0,0
金城汤池,0,0,0,1,0,0
勃勃生机,0,0,0,1,0,0
完备,0,0,0,1,0,0
面熟,0,0,0,1,0,0
悬念,0,0,1,0,0,0
粲然,0,0,0,1,0,0
过不去,0,0,1,0,0,0
硬棒,0,0,0,1,0,0
卑鄙,0,1,0,0,0,0
心烦,0,0,1,0,0,0
为人作嫁衣裳,0,1,0,0,0,0
顽石点头,0,0,0,1,0,0
气魄,0,0,0,1,0,0
吊祭,0,0,0,0,1,0
麻麻黑,0,1,0,0,0,0
思路清晰,0,0,0,1,0,0
欠完善,0,1,0,0,0,0
方正,0,0,0,1,0,0
惨淡,0,1,0,1,0,0
森然,0,0,0,1,0,0
讆,0,1,0,0,0,0
温存,0,0,0,1,1,0
天随人愿,0,0,0,1,0,0
浮皮蹭痒,0,1,0,0,0,0
留意,0,0,0,0,1,0
委靡不振,0,1,0,0,0,0
阳刚,0,0,0,1,0,0
薄,0,1,1,0,0,0
高超,0,0,0,1,0,0
奇巧,0,0,0,1,0,0
哀悯,0,0,1,0,0,0
十恶不赦,0,1,0,0,0,0
颇,1,0,0,0,0,0
人寿年丰,0,0,0,1,0,0
首肯,0,0,0,0,1,0
动魄惊心,0,1,0,0,0,0
萧疏,0,1,0,0,0,0
凉,0,0,1,0,0,0
找碴,0,0,1,0,0,0
死活,0,0,0,1,0,0
垂爱,0,0,0,0,1,0
惼,0,1,0,0,0,0
馁,0,0,1,0,0,0
发愁,0,0,1,0,0,0
需要,0,0,0,0,1,0
疼,0,0,0,0,1,0
典型性,0,0,0,1,0,0
捶胸顿足,0,0,1,0,0,0
才思敏捷,0,0,0,1,0,0
耿介不阿,0,0,0,1,0,0
令人折断腰,0,1,0,0,0,0
蓬首垢面,0,1,0,0,0,0
庄重,0,0,0,1,0,0
深恶痛绝,0,0,1,0,0,0
旺盛,0,0,0,1,0,0
尽孝,0,0,0,0,1,0
侉,0,1,0,0,0,0
哩溜歪斜,0,1,0,0,0,0
迷上,0,0,0,0,1,0
值得羡慕,0,0,0,1,0,0
利已,0,1,0,0,0,0
不加渲染,0,0,0,1,0,0
健朗,0,0,0,1,0,0
孟浪,0,1,0,0,0,0
看得上眼,0,0,0,0,1,0
有求必应,0,0,0,1,0,0
颓,0,1,1,0,0,0
游刃有余,0,0,0,1,0,0
忠贞不屈,0,0,0,1,0,0
蕻,0,0,0,1,0,0
秉性剌戾,0,1,0,0,0,0
由衷,0,0,0,1,0,0
半半拉拉,0,1,0,0,0,0
不雅,0,1,0,0,0,0
厌弃,0,0,1,0,0,0
怡然自得,0,0,0,0,1,0
暗弱,0,1,0,0,0,0
漂亮,0,0,0,1,0,0
直来直去,0,0,0,1,0,0
无限制,0,1,0,0,0,0
不闻不问,0,0,1,0,0,0
示喜,0,0,0,0,1,0
光溜溜,0,0,0,1,0,0
油头滑脑,0,1,0,0,0,0
害羞,0,0,1,0,0,0
合情理,0,0,0,1,0,0
滴水穿石,0,0,0,1,0,0
生疑,0,0,1,0,0,0
佶屈聱牙,0,1,0,0,0,0
一气之下,0,0,1,0,0,0
饶爽,0,0,0,1,0,0
断肠,0,0,1,0,0,0
绮丽,0,0,0,1,0,0
肜,0,0,0,1,0,0
拿腔作势,0,1,0,0,0,0
当众,0,0,0,1,0,0
踌躇满志,0,0,0,0,1,0
四面楚歌,0,1,0,0,0,0
骠勇,0,0,0,1,0,0
愤愤,0,0,1,0,0,0
粹,0,0,0,1,0,0
悖,0,1,0,0,0,0
精力充沛,0,0,0,1,0,0
旁若无人,0,1,0,0,0,0
健旺,0,0,0,1,0,0
致密,0,0,0,1,0,0
万万,1,0,0,0,0,0
不稂不莠,0,1,0,0,0,0
不成体统,0,1,0,0,0,0
随随便便,0,1,0,0,0,0
结实,0,0,0,1,0,0
节约,0,0,0,1,0,0
要,0,0,0,1,1,0
一五一十,0,0,0,1,0,0
寒碜,0,1,0,0,0,0
危在旦夕,0,1,0,0,0,0
达观,0,0,0,1,0,0
愣,0,1,1,0,0,0
灰溜溜,0,1,1,0,0,0
板实,0,0,0,1,0,0
淡泊明志,0,0,0,1,0,0
杂乱,0,1,0,0,0,0
费功夫,0,1,0,0,0,0
训戒,0,0,1,0,0,0
祺,0,0,0,1,0,0
微茫,0,1,0,0,0,0
热切,0,0,0,1,0,0
黄色,0,1,0,0,0,0
3730,0,0,0,1,0,0
宜人,0,0,0,1,0,0
抨,0,0,1,0,0,0
随风转舵,0,1,0,0,0,0
庆祝,0,0,0,0,1,0
从权,0,0,0,1,0,0
经济,0,0,0,1,0,0
仡,0,0,0,1,0,0
颛蒙,0,1,0,0,0,0
挚,0,0,0,1,0,0
慈善,0,0,0,1,0,0
霸气,0,1,0,0,0,0
勤,0,0,0,1,0,0
骄慢,0,1,0,0,0,0
散,0,1,0,0,0,0
泱泱,0,0,0,1,0,0
吊儿郎当,0,1,0,0,0,0
蜕化变质,0,1,0,0,0,0
动火,0,0,1,0,0,0
出神,0,0,1,0,0,0
称愿,0,0,0,0,1,0
薄弱,0,1,0,0,0,0
单调,0,1,0,0,0,0
狷急,0,1,0,0,0,0
不甚,1,0,0,0,0,0
刺耳,0,1,0,0,0,0
板脸,0,0,1,0,0,0
可惊,0,1,0,0,0,0
冷销,0,1,0,0,0,0
精神抖擞,0,0,0,1,0,0
嘉奖,0,0,0,0,1,0
天真烂漫,0,0,0,1,0,0
不宽容,0,1,0,0,0,0
魅人,0,0,0,1,0,0
翩翩,0,0,0,1,0,0
忸怩,0,0,1,0,0,0
华贵,0,0,0,1,0,0
食而不知其味,0,1,0,0,0,0
懦弱,0,1,0,0,0,0
紧,0,1,0,0,0,0
顺眼,0,0,0,1,0,0
胆寒,0,0,1,0,0,0
不看僧面看佛面,0,0,0,0,1,0
